col_1,col_2,col_3,col_4,col_5,col_6
BUF__MIA,-1,0,0,1,89
CHI__CIN,0,0,1,1,89
CLE__PIT,1,0,0,1,89
MIN__HOU,1,0,1,1,89
DEN__KC,1,0,1,1,89
LAN__ATL,1,0,0,1,89
NYJ__NE,-1,0,1,1,89
PHX__DET,1,0,0,1,89
LAA__SD,1,0,1,1,89
PHA__SEA,1,0,1,1,89
WAS__NYG,-1,2,1,1,89
ATL__DAL,1,0,1,2,89
NYG__DET,-1,0,1,2,89
HOU__SD,1,0,0,2,89
LAN__IND,1,0,1,2,89
CHI__MIN,1,0,1,2,89
CLE__NYJ,1,0,1,2,89
WAS__PHA,-1,0,1,2,89
SEA__PHX,-1,0,1,2,89
CIN__PIT,1,0,1,2,89
BUF__DEN,-1,2,1,2,89
IND__ATL,-1,0,1,3,89
HOU__BUF,-1,0,1,3,89
CHI__DET,1,0,0,3,89
LAN__GB,-1,0,1,3,89
DEN__LAA,1,0,1,3,89
MIN__PIT,-1,0,0,3,89
MIA__NYJ,-1,0,1,3,89
NYG__PHX,1,0,1,3,89
PHA__SF,-1,0,1,3,89
WAS__DAL,1,0,0,3,89
CIN__CLE,1,2,1,3,89
CIN__KC,-1,0,0,4,89
CLE__DEN,-1,0,1,4,89
NYJ__IND,-1,0,1,4,89
HOU__MIA,1,0,1,4,89
BUF__NE,1,0,1,4,89
NYG__DAL,1,0,0,4,89
DET__PIT,-1,0,1,4,89
PHX__SD,-1,0,1,4,89
LAA__SEA,-1,0,1,4,89
MIN__TB,1,0,1,4,89
WAS__NO,1,0,0,4,89
CHI__PHA,1,2,1,4,89
LAN__ATL,1,0,1,5,89
BUF__IND,-1,0,0,5,89
CHI__TB,-1,0,0,5,89
CIN__PIT,1,0,0,5,89
CLE__MIA,-1,0,0,5,89
MIN__DET,-1,0,1,5,89
HOU__NE,-1,0,0,5,89
SEA__KC,-1,0,1,5,89
PHA__NYG,-1,0,1,5,89
WAS__PHX,-1,0,1,5,89
DEN__SD,-1,0,1,5,89
NYJ__LAA,-1,2,1,5,89
MIN__GB,1,0,1,6,89
CHI__HOU,-1,0,1,6,89
DEN__IND,1,0,1,6,89
LAA__KC,1,0,1,6,89
CIN__MIA,-1,0,1,6,89
ATL__NE,-1,0,1,6,89
PHA__PHX,1,0,0,6,89
CLE__PIT,-1,0,1,6,89
NYG__WAS,0,0,1,6,89
LAN__BUF,-1,2,0,6,89
PHX__ATL,1,0,1,7,89
SEA__DEN,-1,0,1,7,89
MIA__GB,0,0,1,7,89
CIN__IND,-1,0,1,7,89
PHA__LAA,-1,0,1,7,89
MIN__DET,1,0,0,7,89
LAN__NO,-1,0,1,7,89
NYG__SD,1,0,0,7,89
BUF__NYJ,1,0,1,7,89
HOU__PIT,1,0,1,7,89
WAS__TB,-1,0,1,7,89
CLE__CHI,1,2,1,7,89
CLE__HOU,1,0,1,8,89
PIT__KC,1,0,1,8,89
CHI__LAN,1,0,1,8,89
BUF__MIA,1,0,1,8,89
IND__NE,-1,0,1,8,89
DEN__PHA,-1,0,1,8,89
PHX__DAL,1,0,0,8,89
SEA__SD,-1,0,1,8,89
CIN__TB,1,0,1,8,89
WAS__LAA,-1,0,0,8,89
NYG__MIN,1,2,1,8,89
BUF__ATL,-1,0,0,9,89
CHI__GB,-1,0,0,9,89
CIN__LAA,-1,0,0,9,89
CLE__TB,1,0,0,9,89
HOU__DET,-1,0,1,9,89
MIA__IND,1,0,1,9,89
MIN__LAN,-1,0,1,9,89
NYG__PHX,1,0,0,9,89
PHA__SD,-1,0,0,9,89
DEN__PIT,1,0,1,9,89
WAS__DAL,-1,1,1,9,89
CHI__PIT,1,0,0,10,89
CLE__SEA,1,0,0,10,89
PHX__DAL,-1,0,1,10,89
BUF__IND,1,0,1,10,89
MIA__NYJ,1,0,0,10,89
MIN__TB,1,0,0,10,89
LAN__NYG,1,0,1,10,89
PHA__WAS,-1,0,1,10,89
LAA__SD,-1,1,0,10,89
HOU__CIN,-1,2,1,10,89
BUF__NE,-1,0,0,11,89
CIN__DET,1,0,1,11,89
CLE__KC,-1,0,1,11,89
HOU__LAA,1,0,1,11,89
MIA__DAL,-1,0,0,11,89
MIN__PHA,-1,0,0,11,89
LAN__PHX,1,0,1,11,89
PIT__SD,1,0,1,11,89
NYG__SEA,1,0,1,11,89
CHI__TB,-1,0,1,11,89
IND__NYJ,1,1,1,11,89
WAS__DEN,-1,2,1,11,89
CLE__DET,-1,3,0,12,89
PHA__DAL,1,3,0,12,89
NYJ__ATL,1,0,1,12,89
CHI__WAS,-1,0,0,12,89
BUF__CIN,1,0,1,12,89
HOU__KC,-1,0,0,12,89
MIN__GB,-1,0,0,12,89
LAA__NE,-1,0,1,12,89
MIA__PIT,-1,0,1,12,89
IND__SD,-1,0,1,12,89
DEN__SEA,1,0,1,12,89
PHX__TB,-1,0,1,12,89
LAN__NO,1,1,0,12,89
CLE__CIN,-1,0,1,13,89
LAA__DEN,1,0,1,13,89
HOU__PIT,1,0,0,13,89
LAN__DAL,-1,0,0,13,89
NYG__PHA,-1,0,1,13,89
WAS__PHX,1,0,0,13,89
MIN__CHI,1,1,1,13,89
BUF__SEA,-1,2,0,13,89
MIN__ATL,1,0,1,14,89
CLE__IND,-1,0,0,14,89
PHA__DAL,-1,0,1,14,89
CHI__DET,-1,0,1,14,89
BUF__NO,-1,0,1,14,89
DEN__NYG,-1,0,1,14,89
LAA__PHX,-1,0,1,14,89
NYJ__PIT,-1,0,1,14,89
WAS__SD,-1,0,1,14,89
CIN__SEA,-1,0,1,14,89
HOU__TB,-1,0,1,14,89
MIA__NE,1,1,1,14,89
LAN__SF,-1,2,1,14,89
NYG__DAL,1,4,1,15,89
DEN__PHX,1,4,0,15,89
CHI__GB,-1,0,1,15,89
CIN__HOU,1,0,1,15,89
IND__MIA,1,0,1,15,89
MIN__CLE,-1,0,0,15,89
PIT__NE,1,0,1,15,89
LAN__NYJ,1,0,1,15,89
DET__TB,1,0,1,15,89
WAS__ATL,-1,0,0,15,89
SEA__LAA,1,1,1,15,89
PHA__NO,-1,2,0,15,89
BUF__NYJ,1,4,0,16,89
SEA__WAS,-1,4,1,16,89
HOU__CLE,-1,4,1,16,89
DEN__SD,-1,0,0,16,89
DET__ATL,1,0,0,16,89
MIA__KC,-1,0,1,16,89
NYG__LAA,1,0,1,16,89
LAN__NE,-1,0,0,16,89
PHA__PHX,1,0,1,16,89
PIT__TB,1,0,0,16,89
MIN__CIN,1,2,1,16,89
MIA__NE,1,0,0,1,90
DET__TB,-1,0,1,1,90
CHI__SEA,1,0,1,1,90
LAN__GB,-1,0,0,1,90
WAS__PHX,1,0,1,1,90
MIN__KC,-1,0,0,1,90
BUF__IND,1,0,1,1,90
DEN__LAA,-1,0,0,1,90
ATL__HOU,1,0,1,1,90
CIN__NYJ,-1,0,1,1,90
CLE__PIT,1,0,1,1,90
NYG__PHA,1,1,1,1,90
IND__NE,-1,0,1,2,90
BUF__MIA,-1,0,0,2,90
CIN__SD,1,0,0,2,90
CLE__NYJ,-1,0,0,2,90
DET__ATL,1,0,1,2,90
LAN__TB,1,0,0,2,90
MIN__NO,1,0,1,2,90
NYG__DAL,1,0,0,2,90
PHA__PHX,-1,0,1,2,90
PIT__HOU,1,0,1,2,90
LAA__SEA,1,1,0,2,90
DEN__KC,-1,2,1,2,90
CIN__NE,1,0,1,3,90
CHI__MIN,1,0,1,3,90
CLE__SD,-1,0,1,3,90
DEN__SEA,-1,0,1,3,90
HOU__IND,1,0,1,3,90
LAA__PIT,1,0,1,3,90
LAN__PHA,-1,0,1,3,90
NYG__MIA,1,0,1,3,90
WAS__DAL,-1,1,1,3,90
BUF__NYJ,1,2,0,3,90
NYJ__NE,1,0,0,4,90
BUF__DEN,-1,0,1,4,90
DET__GB,-1,0,1,4,90
LAA__CHI,1,0,1,4,90
MIA__PIT,1,0,0,4,90
MIN__TB,-1,0,1,4,90
NYG__DAL,1,0,1,4,90
PHA__IND,-1,0,1,4,90
WAS__PHX,1,1,0,4,90
CIN__SEA,-1,2,0,4,90
SEA__NE,1,0,0,5,90
ATL__NO,-1,0,1,5,90
CHI__GB,1,0,1,5,90
LAN__CIN,-1,0,1,5,90
MIA__NYJ,-1,0,1,5,90
MIN__DET,-1,0,1,5,90
BUF__LAA,1,1,1,5,90
DEN__CLE,-1,2,1,5,90
DEN__PIT,-1,0,1,6,90
HOU__CIN,1,0,1,6,90
LAA__SEA,1,0,1,6,90
NYJ__SD,-1,0,1,6,90
PHX__DAL,1,0,1,6,90
WAS__NYG,-1,0,1,6,90
CHI__LAN,1,1,1,6,90
PHA__MIN,1,2,1,6,90
MIA__NE,-1,3,1,7,90
BUF__NYJ,-1,0,1,7,90
DEN__IND,1,0,0,7,90
LAA__SD,1,0,0,7,90
LAN__ATL,1,0,1,7,90
NYG__PHX,-1,0,1,7,90
SEA__KC,1,0,1,7,90
WAS__PHA,1,0,1,7,90
HOU__NO,1,0,1,7,90
CLE__CIN,-1,2,1,7,90
BUF__NE,1,0,0,8,90
MIA__IND,1,0,0,8,90
HOU__NYJ,-1,0,1,8,90
PHA__DAL,-1,0,0,8,90
CHI__PHX,1,0,0,8,90
NYG__WAS,1,0,1,8,90
CIN__ATL,-1,1,0,8,90
LAN__PIT,-1,2,0,8,90
PHA__NE,1,0,1,9,90
BUF__CLE,1,0,0,9,90
CHI__TB,1,0,0,9,90
CIN__NO,-1,0,1,9,90
LAN__HOU,1,0,1,9,90
MIA__PHX,1,0,1,9,90
NYJ__DAL,1,0,1,9,90
PIT__ATL,1,0,1,9,90
SEA__SD,-1,0,1,9,90
WAS__DET,1,0,0,9,90
DEN__MIN,-1,1,0,9,90
NYG__IND,1,2,0,9,90
MIA__NYJ,1,0,0,10,90
DET__MIN,-1,0,1,10,90
CHI__ATL,-1,0,1,10,90
BUF__PHX,1,0,1,10,90
NYG__LAN,1,0,0,10,90
LAA__GB,-1,0,1,10,90
PHA__WAS,1,2,1,10,90
BUF__NE,-1,0,1,11,90
CHI__DEN,1,0,0,11,90
HOU__CLE,1,0,0,11,90
LAN__DAL,-1,0,1,11,90
NYG__DET,1,0,1,11,90
NYJ__IND,-1,0,0,11,90
PHA__ATL,0,0,0,11,90
SEA__MIN,-1,0,1,11,90
WAS__NO,1,0,1,11,90
CIN__PIT,1,1,1,11,90
MIA__LAA,-1,2,1,11,90
DEN__DET,-1,3,0,12,90
WAS__DAL,-1,3,0,12,90
PHX__NE,1,0,1,12,90
CHI__MIN,-1,0,0,12,90
CIN__IND,-1,0,1,12,90
LAA__KC,-1,0,1,12,90
MIA__CLE,1,0,0,12,90
NYG__PHA,-1,0,0,12,90
PIT__NYJ,1,0,0,12,90
HOU__BUF,0,2,1,12,90
ATL__TB,-1,0,0,13,90
BUF__PHA,1,0,1,13,90
CHI__DET,-1,0,1,13,90
LAA__DEN,1,0,0,13,90
LAN__CLE,1,0,0,13,90
MIN__GB,1,1,1,13,90
PIT__CIN,-1,0,1,13,90
PHX__IND,1,0,1,13,90
SEA__HOU,1,0,1,13,90
WAS__MIA,1,0,1,13,90
PIT__NE,1,0,1,14,90
ATL__PHX,-1,0,1,14,90
BUF__IND,1,0,0,14,90
HOU__CLE,1,0,1,14,90
LAN__NO,-1,0,1,14,90
MIA__PHA,1,1,1,14,90
NYG__MIN,1,0,1,14,90
WAS__CHI,-1,0,1,14,90
LAA__DET,1,2,0,14,90
NYG__BUF,-1,4,1,15,90
WAS__NE,1,4,0,15,90
ATL__CLE,-1,0,0,15,90
CHI__DET,-1,1,0,15,90
DAL__PHX,1,0,1,15,90
DEN__SD,1,0,1,15,90
LAA__CIN,1,0,1,15,90
MIA__SEA,1,0,1,15,90
MIN__TB,-1,0,0,15,90
NYJ__IND,-1,0,1,15,90
PHA__GB,1,0,1,15,90
DET__GB,1,4,0,16,90
LAA__MIN,1,4,0,16,90
WAS__IND,-1,4,0,16,90
NYJ__NE,1,0,1,16,90
BUF__MIA,1,0,1,16,90
CHI__TB,1,0,1,16,90
HOU__CIN,-1,0,0,16,90
LAN__ATL,-1,0,0,16,90
PHA__DAL,1,0,1,16,90
PIT__CLE,1,0,1,16,90
NYG__PHX,-1,0,0,16,90
SEA__DEN,0,3,1,16,90
PHA__PHX,-1,4,0,17,90
MIA__IND,-1,0,1,17,90
WAS__BUF,1,0,1,17,90
CIN__CLE,-1,0,1,17,90
ATL__DAL,1,0,1,17,90
NYG__NE,-1,0,0,17,90
SEA__DET,1,0,1,17,90
DEN__GB,1,0,1,17,90
LAA__SD,-1,0,1,17,90
PIT__HOU,-1,1,0,17,90
IND__NE,-1,0,1,1,91
NYJ__TB,1,0,1,1,91
DAL__CLE,1,0,0,1,91
PHA__GB,1,0,0,1,91
CHI__MIN,1,0,1,1,91
PIT__SD,1,0,1,1,91
DEN__CIN,1,0,1,1,91
LAN__PHX,-1,0,1,1,91
HOU__LAA,1,0,1,1,91
BUF__MIA,-1,0,1,1,91
WAS__DET,1,1,1,1,91
NYG__SF,0,2,1,1,91
PHA__PHX,-1,0,1,2,91
ATL__MIN,-1,0,1,2,91
MIA__IND,1,0,1,2,91
BUF__PIT,1,0,1,2,91
DET__GB,1,0,1,2,91
NYG__LAN,-1,0,1,2,91
CHI__TB,-1,0,0,2,91
LAA__DEN,-1,0,1,2,91
SEA__NYJ,1,0,1,2,91
CIN__HOU,-1,1,1,2,91
WAS__DAL,0,2,0,2,91
PIT__NE,0,0,1,3,91
CIN__CLE,-1,0,0,3,91
WAS__PHX,1,0,1,3,91
MIA__DET,-1,0,0,3,91
DAL__PHA,-1,0,1,3,91
NYG__CHI,-1,0,0,3,91
LAA__IND,1,0,1,3,91
DEN__SEA,0,0,1,3,91
BUF__NYJ,-1,0,0,3,91
HOU__KC,1,2,1,3,91
HOU__NE,-1,0,0,4,91
BUF__TB,-1,0,0,4,91
DEN__SD,-1,0,1,4,91
DET__IND,1,0,0,4,91
LAA__ATL,-1,0,0,4,91
MIA__GB,-1,0,1,4,91
NYG__CLE,-1,0,1,4,91
PHA__PIT,1,0,1,4,91
WAS__CIN,1,0,0,4,91
PHX__DAL,-1,1,1,4,91
CHI__NYJ,-1,2,1,4,91
PHX__NE,1,0,1,5,91
BUF__CHI,1,0,1,5,91
DET__TB,1,0,1,5,91
LAN__GB,-1,0,1,5,91
MIA__NYJ,-1,0,0,5,91
NYG__DAL,-1,0,0,5,91
SEA__IND,1,0,1,5,91
MIN__DEN,-1,1,1,5,91
WAS__PHA,1,2,1,5,91
MIA__NE,1,0,0,6,91
HOU__DEN,1,0,1,6,91
DAL__GB,1,0,0,6,91
DET__MIN,1,0,1,6,91
NYJ__CLE,1,0,0,6,91
PHA__TB,-1,0,0,6,91
CIN__SEA,-1,0,1,6,91
WAS__CHI,1,0,0,6,91
NYG__PHX,1,0,1,6,91
LAA__SD,-1,0,1,6,91
PIT__IND,1,1,0,6,91
BUF__KC,-1,2,0,6,91
BUF__IND,1,0,1,7,91
DAL__CIN,1,0,1,7,91
HOU__NYJ,0,0,0,7,91
LAN__SD,1,0,1,7,91
MIN__PHX,1,0,1,7,91
WAS__CLE,1,0,1,7,91
SEA__LAA,-1,1,1,7,91
NYG__PIT,-1,2,0,7,91
CHI__GB,1,3,0,8,91
MIN__NE,-1,0,0,8,91
NYJ__IND,-1,0,0,8,91
HOU__MIA,0,0,0,8,91
PIT__SEA,-1,0,1,8,91
ATL__PHX,-1,0,0,8,91
LAA__LAN,-1,0,1,8,91
BUF__CIN,1,2,1,8,91
DEN__NE,-1,0,0,9,91
HOU__CIN,1,0,1,9,91
ATL__LAN,1,0,1,9,91
CLE__PIT,1,0,1,9,91
DET__DAL,1,0,1,9,91
MIN__PHX,1,0,0,9,91
SEA__SD,1,0,1,9,91
NYG__WAS,-1,1,1,9,91
BUF__NE,-1,0,1,10,91
CLE__CIN,-1,0,0,10,91
CHI__DET,1,0,1,10,91
NYJ__GB,-1,0,1,10,91
WAS__HOU,-1,0,1,10,91
DAL__PHX,1,0,1,10,91
MIN__TB,1,0,1,10,91
MIA__IND,-1,0,0,10,91
DEN__PIT,1,1,1,10,91
NYG__PHA,-1,2,0,10,91
MIA__NE,1,1,1,11,91
BUF__GB,1,0,0,11,91
CIN__PIT,-1,0,1,11,91
CLE__PHA,-1,0,1,11,91
DEN__LAA,-1,0,1,11,91
DET__TB,-1,0,0,11,91
HOU__DAL,-1,0,1,11,91
NYG__PHX,0,0,0,11,91
NYJ__IND,-1,0,1,11,91
SEA__SD,-1,0,0,11,91
WAS__ATL,1,0,1,11,91
MIN__CHI,-1,2,1,11,91
NYJ__NE,1,0,0,12,91
ATL__TB,1,0,1,12,91
CHI__IND,1,0,0,12,91
DET__LAN,1,0,1,12,91
HOU__CLE,-1,1,1,12,91
LAA__SEA,1,0,1,12,91
MIN__GB,1,0,0,12,91
NYG__DAL,1,0,1,12,91
PHA__CIN,-1,0,1,12,91
WAS__PIT,1,0,0,12,91
BUF__MIA,1,2,0,12,91
BUF__NE,-1,0,0,13,91
WAS__DAL,-1,0,1,13,91
MIN__DET,-1,0,1,13,91
HOU__PIT,-1,0,0,13,91
LAA__CIN,1,0,0,13,91
CHI__MIA,-1,0,1,13,91
NYG__TB,-1,0,0,13,91
PHA__PHX,1,0,0,13,91
SEA__DEN,0,0,1,13,91
NYJ__SD,1,0,1,13,91
DET__CHI,1,3,1,14,91
DAL__PIT,1,3,1,14,91
DEN__NE,1,0,1,14,91
CLE__IND,1,0,0,14,91
BUF__NYJ,1,0,1,14,91
MIA__TB,1,0,1,14,91
WAS__LAN,1,0,0,14,91
SEA__KC,-1,0,1,14,91
NYG__CIN,-1,0,0,14,91
ATL__GB,-1,0,1,14,91
LAA__SD,-1,1,0,14,91
HOU__PHA,-1,2,1,14,91
CLE__DEN,-1,0,1,15,91
CHI__GB,1,0,1,15,91
DAL__NO,1,0,1,15,91
NYG__PHA,-1,0,1,15,91
HOU__PIT,1,0,1,15,91
WAS__PHX,-1,0,0,15,91
ATL__LAN,1,0,0,15,91
LAA__BUF,-1,0,1,15,91
DET__NYJ,1,0,1,15,91
MIN__TB,-1,1,0,15,91
MIA__CIN,1,2,1,15,91
CHI__TB,1,4,1,16,91
NYJ__NE,-1,0,1,16,91
PIT__CIN,1,0,1,16,91
PHA__DAL,-1,0,1,16,91
ATL__SEA,1,0,1,16,91
DET__GB,1,0,0,16,91
HOU__CLE,0,0,0,16,91
DEN__PHX,-1,0,1,16,91
MIN__LAN,-1,0,1,16,91
WAS__NYG,1,0,1,16,91
MIA__SD,-1,0,0,16,91
BUF__IND,1,1,0,16,91
HOU__NYG,-1,4,0,17,91
MIN__GB,-1,4,1,17,91
LAA__KC,-1,0,1,17,91
WAS__PHA,-1,0,0,17,91
DAL__ATL,1,0,1,17,91
PIT__CLE,1,0,1,17,91
MIA__NYJ,-1,0,1,17,91
BUF__DET,-1,0,1,17,91
DEN__SD,1,0,0,17,91
SEA__LAN,1,1,1,17,91
